Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Unit ID","Ballot Type","Tally Type","Tally Date","No of Eligible Voters","Void Ballots","Labor Union1","Votes for Labor Union1","Labor Union2","Votes for Labor Union2","Labor Union3","Votes for Labor Union3","Votes Against","Total Ballots Counted","Runoff Required","Challenged Ballots","Challenges are Determinative","Union to Certify","Voting Unit (Unit A)","Voting Unit (Unit B)","Voting Unit (Unit C)","Voting Unit (Unit D)"
"Region 12, Tampa, Florida",12-RC-349205,"HMS Ferries - Puerto Rico, LLC",Closed,08/28/2024,10/01/2024,"Certification of Results",Ceiba,PR,A,"Single Labor Organization",Initial,09/20/2024,95,,"International Association of Machinists and Aerospace Workers, AFL-CIO",33,,,,,59,92,,,,,"Included: All full-time captains, deckhands, senior vessel crew
technicians, and vessel crew technicians employed by the Employer at its
Ceiba, Puerto Rico facility.

Excluded: All other employees, guards and supervisors as defined in the
Act.
",,,
"Region 10, Atlanta, Georgia",10-RC-349904,"Starbucks Corporation",Closed,09/06/2024,10/01/2024,"Certific. of Representative",Nashville,TN,A,"Single Labor Organization",Initial,09/20/2024,23,,"Workers United, Southern Regional Joint Board",17,,,,,1,18,,1,,"Workers United, Southern Regional Joint Board","Included: All full time and regular part-time Baristas and Shift Supervisors employed by Starbucks Corporation at its facility located at 3706 Hillsboro Pike, Nashville, Tennessee 37215. 

Excluded: All other employees, store managers, assistant store managers, office clerical employees, professional employees, guards, and supervisors as defined by the Act. 
",,,
"Region 13, Chicago, Illinois",13-RC-347962,"Indiana Grocery Group, LLC d/b/a Strack & Van Til",Closed,08/09/2024,09/30/2024,"Certific. of Representative","Crown Point",IN,A,"Single Labor Organization",Initial,09/20/2024,11,,"UFCW Local 1546",5,,,,,3,8,,,,"UFCW Local 1546","Included: All full-time and regular part-time deli clerks, deli managers, assistant deli managers, and deli cooks employed by the Employer at its facility currently located at 10839 Randolph Street, Crown Point, IN.
Excluded: All other employees, office clerical employees, confidential employees, managerial employees, professional employees, guards and supervisors as defined by the Act.",,,
"Region 19, Seattle, Washington",19-RM-349970,"Span-Alaska Transportation, LLC",Closed,09/09/2024,09/30/2024,"Certification of Results",Auburn,WA,A,"Single Labor Organization",Initial,09/20/2024,43,,"Teamsters Local 174, affiliated with the International Brotherhood of Teamsters",12,,,,,29,41,,,,"Teamsters Local 174, affiliated with the International Brotherhood of Teamsters","All full-time and regular part-time Mechanics, Warehouse Associates, Warehouse Leads, Warehouse Receiving Leads, Drivers, Dispatchers, Trailer Specialists, Yard Control, Flatbed Specialist and Parcel Receiving Clerks employees employed at the Employer's two facilities located at 3815 W Valley Hwy N, Auburn, WA 98001 and 1808 B Street NW, Auburn, WA 98001; excluding all casual employees, managers, confidential employees, guards, office clericals, and supervisors as defined by the Act. 
",,,
"Region 28, Phoenix, Arizona",28-RC-348528,"Nevada Property 1 LLC d/b/a The Cosmopolitan of Las Vegas",Closed,08/16/2024,10/16/2024,"Certification of Results","Las Vegas",NV,A,"Single Labor Organization",Initial,09/20/2024,174,,"International Union, Security, Police and Fire Professionals of America (SPFPA)",34,,,,,82,121,,5,,,"INCLUDED:  All full-time, regular part-time, and on-call dispatchers, report writers, security bike officers, and security officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by the Employer at its facility located in Las Vegas, Nevada. 

EXCLUDED:  All other employees, office clerical employees, professional employees, managerial employees, and supervisors as defined in the Act.  
",,,
"Region 10, Atlanta, Georgia",10-RM-348012,"Barter Foundation, Inc. d/b/a Barter Theatre",Closed,08/09/2024,09/27/2024,"Certification of Results",Abingdon,VA,A,"Single Labor Organization",Initial,09/19/2024,29,,"International Alliance of Theatrical Stage Employees (IATSE)",4,,,,,21,25,,,,"International Alliance of Theatrical Stage Employees (IATSE)","All full-time and regular part-time employees in the job classifications of Master Stage Carpenter, Stagehand, Wardrobe Master, Wardrobe Assistant, Summer Dresser, Lighting/Sound Technician, Resident Scenic Designer, Scene Shop Foreman, Scenic Carpenter, Paint Shop- Scenic Charge Artist, Paint Shop- Assistant Scenic Charge Artist, Assistant Properties Master, Props Artisan, Costume Shop Foreman/Resident Designer, Associate Resident Costume Designer, Costume Shop- First Hand, Costume Shop-Design Assistant, Wig/Makeup Designer, Props Journeyman, Costume Artisan, Master Carpenter, Gilliam Stage Electrician, Sound Engineer, but excluding Technical Director, Properties Master, Costume Shop Manager, Resident Music Director, Master Electrician/Resident Designer, Audio/Video Supervisor, Production Assistant, Over hire Labor, office-clerical employees, guards, and supervisors as defined in the Act.",,,
"Region 02, New York, New York",02-RC-348900,"American Minutemen Sewer & Drain Service, Inc.",Closed,08/22/2024,09/27/2024,"Certific. of Representative","New City",NY,A,"Single Labor Organization",Initial,09/19/2024,17,,"Local 1032 League of International Federated Employees Union",12,,,,,,12,,,,"Local 1032 League of International Federated Employees Union","INCLUDED: All full-time and regular part-time sewer technicians and helpers employed by the Employer from its New City, New York facility. 

EXCLUDED: All other employees, including office clericals, managerial employees, confidential employees, guards, professional employees, and supervisors as defined in the Act.",,,
"Region 01, Boston, Massachusetts",01-RC-348379,"The Hamilton Company, Inc.",Closed,08/15/2024,09/27/2024,"Certification of Results",Allston,MA,A,"Single Labor Organization",Initial,09/19/2024,20,,"International Union of Operating Engineers, Local 877",,,,,,20,20,,1,,,"Included: All full time and part-time superintendents, head superintendents, plumbers, hvac, carpenters, painters, assistant maintenance directors and electricians working for the Hamilton Company at its head office on Brighton Ave. 

Excluded: All managers and guards, and supervisors as defined in the Act and all other employees working at the head office.

Also permitted to vote: The parties agree that customer service representatives (maintenance coordinators) may vote in the election, but their ballots will be challenged since their eligibility has not been resolved. No decision has been made regarding whether the individuals in this classification or group are included in or excluded from the bargaining unit. The eligibility or inclusion of these individuals, if any, will be resolved, if necessary, following the election.
",,,
"Region 01, Boston, Massachusetts",01-RC-348623,"Emerson College",Closed,08/19/2024,09/27/2024,"Certific. of Representative",Boston,MA,A,"Single Labor Organization",Initial,09/19/2024,7,,"Service Employees International Union, Local 888",6,,,,,,6,,,,"Service Employees International Union, Local 888","Included: All full-time and regular part-time employees employed by Emerson College in its Social Justice Collaborative at its Boston, Massachusetts campus. 

Excluded: All student employees, temporary employees, confidential employees, and guards, professional employees and supervisors as defined in the Act.


",,,
"Region 15, New Orleans, Louisiana",15-RD-348154,"Waste Management Inc. of Tennessee (d/b/a WM)",Closed,08/13/2024,09/27/2024,"Certification of Results",Memphis,TN,A,"Single Labor Organization",Initial,09/19/2024,47,,"Teamsters Local 667",4,,,,,40,44,,,,,"Included: All full-time and regular part-time commercial, industrial, and residential truck drivers employed by the Employer at its Memphis, Tennessee facility.
Excluded: All transfer station and other employees including office clericals, professional employees, guards and supervisors as defined in the Act.
",,,
"Region 02, New York, New York",02-RC-348389,"The Rockefeller University",Closed,08/15/2024,09/27/2024,"Certific. of Representative",Manhattan,NY,A,"Single Labor Organization",Initial,09/19/2024,292,2,"United Postdoctoral Researchers of Rockefeller - UAW",167,,,,,75,242,,9,,"United Postdoctoral Researchers of Rockefeller - UAW","Included: All postdoctoral researchers employed by Rockefeller University in the following classifications: Postdoctoral Associate, Postdoctoral Fellow, and Research Associate.

Excluded: All other employees, Senior Research Associates, individuals employed by the Howard Hughes Medical Institute, office clerical employees, managerial employees, guards and supervisors as defined by the Act.


",,,
"Region 02, New York, New York",02-RC-348788,"The Premier Center for Rehabilitation of Westchester LLC d/b/a Springvale Nursing and Rehabilitation Center",Closed,08/21/2024,09/27/2024,"Certific. of Representative",Croton-on-Hudson,NY,A,"Single Labor Organization",Initial,09/19/2024,12,1,"1199SEIU United Healthcare Workers East",10,,,,,,10,,,,"1199SEIU United Healthcare Workers East","Included: All regular full time, part time, and per diem* Home Health Aides as a residual unit to the existing l l 99SEIU United Healthcare Workers East represented service and maintenance bargaining unit.



Excluded: All other employees, including confidential employees, managerial employees, guards, and supervisors as defined by the Act.



 

",,,
"Region 28, Phoenix, Arizona",28-RM-349263,"Bay State Milling Company",Closed,08/23/2024,10/16/2024,"Certific. of Representative",Tolleson,AZ,A,"Single Labor Organization",Initial,09/19/2024,10,,"Bakery, Confectionery, Tobacco and Grain Millers International Union, Local Union 232, AFL-CIO, CLC",10,,,,,,10,,,,"Bakery, Confectionery, Tobacco and Grain Millers International Union, Local Union 232, AFL-CIO, CLC","INCLUDED:  All full-time and regular part-time shift millers and assistant millers.

EXCLUDED:  All other employees, including technical millers, head millers, confidential employees, office clerical employees, managerial employees, and guards and supervisors as defined by the Act. 
",,,
"Region 02, New York, New York",02-RC-348270,"Equity Residential Services, L.L.C.",Closed,08/13/2024,10/02/2024,"Certific. of Representative","New York",NY,A,"Single Labor Organization",Initial,09/19/2024,15,1,"Service Employees International Union, Local 32BJ",14,,,,,,14,,,,"Service Employees International Union, Local 32BJ","Included:  All full-time and regular part-time building service employees including doormen, concierges, porters and handymen employed by the employer at 180 Riverside Boulevard, New York, NY

Excluded:  All other employees, including office clerical employees, directors, guards, professional employees, and supervisors as defined in the Act.",,,
"Region 27, Denver, Colorado",27-RC-346362,"Patronus Systems Inc.",Closed,07/16/2024,09/26/2024,"Certific. of Representative",Pocatello,ID,A,"Two Labor Organizations",Initial,09/18/2024,53,,"United Federation of Law Enforcement Officers Security & Police Benevolent Association (LEOS-PBA)",44,"International Union, Security, Police and Fire Professionals of America (SPFPA)",,,,,45,,1,,"United Federation of Law Enforcement Officers Security & Police Benevolent Association (LEOS-PBA)","Included: All full-time and regular part time and reserve Protective Security Officers (PSO) employed by Patronus Systems Inc. performing guard duties as defined by Section 9(b)(3) of the National Labor Relations Act, assigned to federal facilities in: Boise, Caldwell, Twin Fallas, Pocatello, and Idaho Falls, Idaho/ Excluded: All office employees, confidential employees, managerial employees, professional employees and supervisors as defined in the Act.",,,
